Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website,Industries
Genworks,2024-08-08,410000000,Venture - Series Unknown,https://www.linkedin.com/company/genworks-health,https://www.genworkshealth.com,AI
Comet,2024-07-01,423000000,Series A,https://www.linkedin.com/company/thecometuniverse/,https://www.wearcomet.com,AI
ShipGlobal.in,2023-11-30,20800000,Seed,https://www.linkedin.com/company/shipglobalin,https://shipglobal.in,AI
Happi Planet,2024-02-13,84700000,Seed,https://www.linkedin.com/company/happi-planet,https://www.happi-planet.com,AI
Immuneel Therapeutics,2024-07-10,1000000000,Series A,https://www.linkedin.com/company/immuneel-therapeutics-private-limited,https://immuneel.com,AI
Farmako,2024-08-11,1600000,Seed,https://www.linkedin.com/company/farmako-in/,https://farmako.in/,AI
Mayhem Studios,2024-07-26,,Venture - Series Unknown,https://www.linkedin.com/company/mayhemstudios,https://mayhem-studios.com/,AI
The Happy Company Â®,2024-04-01,3000000,Seed,https://www.linkedin.com/company/happycompanyhq/,https://www.chaicup.co,AI
Fleek,2024-01-01,,Seed,https://www.linkedin.com/company/getfleekapp/,https://www.getfleek.app/,AI
Holiday Tribe,2024-10-07,54000000,Seed,https://www.linkedin.com/company/holidaytribe,https://www.holidaytribe.com,AI
CapGrid Solutions,2023-01-30,7000000,Series A,https://in.linkedin.com/company/capgrid,https://www.capgridsolutions.com,AI
NAYAN,2024-10-07,2000000,Seed,https://www.linkedin.com/company/nayancam,https://nayan.co/,AI
NeuralGarage,2024-09-13,1000000,Grant,https://www.linkedin.com/company/neuralgarage,https://www.neuralgarage.com,AI
aastey,2022-02-23,100000000,Seed,https://www.linkedin.com/company/aastey/,https://aastey.com/,AI
Fabriclore,2024-07-02,133000000,Seed,https://www.linkedin.com/company/fabriclore/,https://fabriclore.com/,AI
Oben Electric,2023-06-27,13952356,Seed,https://www.linkedin.com/company/oben-ev/,https://www.obenev.com/,AI
Strique,2024-05-31,10000000,Series A,https://www.linkedin.com/company/strique,https://www.strique.io/,AI
Kommunicate,2024-07-18,,Non-equity Assistance,https://www.linkedin.com/company/13623163/,https://www.kommunicate.io/,AI
Altum Credo,2024-04-18,27000000,Series C,https://www.linkedin.com/company/altum-credo,https://www.altumcredo.com/,AI
Nutrabay,2024-09-02,5000000,Series A,https://in.linkedin.com/company/nutrabay.com,https://nutrabay.com,AI
3DAiLY,2024-07-15,,Non-equity Assistance,https://www.linkedin.com/company/my3dmeta,https://3daily.ai,AI
Clear Premium Water,2024-03-14,450000000,Private Equity,https://www.linkedin.com/company/clearpani,https://www.clearpani.com,AI
SalarySe,2024-01-02,437100000,Seed,https://www.linkedin.com/company/salaryse2023/,https://www.salaryse.com,AI
OnFinance AI,2024-02-16,,Seed,https://www.linkedin.com/company/onfinanceofficial,https://onfinance.ai,AI
The Pant Project,2024-06-19,4250000,Series A,https://www.linkedin.com/company/thepantproject,https://pantproject.com,AI
BEN & GAWS,2024-08-23,3000000,Seed,https://www.linkedin.com/company/ben-gaws-private-limited,https://www.bengaws.com/,AI
LXME,2024-06-25,100000000,Seed,https://www.linkedin.com/company/lxme/,https://lxme.in/,AI
BGauss,2022-04-27,520000000,Series A,https://www.linkedin.com/company/bgauss/,https://www.bgauss.com/,AI
Fello,2023-01-05,4000000,Seed,https://in.linkedin.com/company/fellofinance,https://www.fello.in,AI
La Renon,2024-04-16,6000000000,Secondary Market,https://www.linkedin.com/company/584153?trk=prof-exp-company-name,https://www.larenon.com,AI
The Betel Leaf Co.,2024-05-16,100000000,Venture - Series Unknown,https://in.linkedin.com/company/thebetelleafco,https://thebetelleafco.com/,AI
Boba Bhai,2024-04-24,125000000,Seed,https://www.linkedin.com/company/boba-bhaii,https://www.bobabhai.com,AI
PlatinumRx,2024-04-08,66000000,Seed,https://www.linkedin.com/company/platinumrx,https://www.platinumrx.in,AI
The bakerâ€™s dozen,2024-01-11,330000000,Seed,https://www.linkedin.com/company/the-baker's-dozen,https://thebakersdozen.in,AI
Visit,2024-08-07,2500000000,Private Equity,https://www.linkedin.com/company/visit-internet-services-pvt--ltd-,https://getvisitapp.com,AI
Orbo.ai,2024-09-13,1000000,Grant,https://www.linkedin.com/company/orbo/,https://orbo.ai/,AI
Rays Power Infra,2024-07-24,1270000000,Undisclosed,https://www.linkedin.com/company/rays-power-infra,https://www.rayspowerinfra.com/,AI
MatchLog,2024-04-25,1500000,Seed,https://www.linkedin.com/company/matchlog-solutions-pvt-ltd/,https://matchlog.delivery/,AI
Wingreens Farms,2024-07-23,4300000,Debt Financing,https://www.linkedin.com/company/wingreens,https://www.wingreensfarms.com/,AI
Pointo,2024-04-30,62000000,Seed,https://www.linkedin.com/company/pointoindia,https://pointo.in,AI
Ai Health Highway,2024-10-04,1000000,Seed,https://www.linkedin.com/company/ai-highway-inc,https://aisteth.com/,AI
INCLUD,2024-04-18,125000000,Seed,https://www.linkedin.com/company/aspiringbrands,https://includ.com,AI
Expertia.AI,2024-02-16,,Non-equity Assistance,https://in.linkedin.com/company/expertia-ai,https://www.expertia.ai,AI
BatX Energies,2023-12-19,5000000,Seed,https://www.linkedin.com/company/batxenergies,https://batxenergies.com,AI
BebeBurp,2024-08-02,80000000,Seed,https://www.linkedin.com/company/bebe-burp/,https://bebeburp.com/about-us/,AI
InCruiter,2024-01-08,11000000,Debt Financing,https://linkedin.com/in/incruiter,https://incruiter.com,AI
BALWAAN Agri,2024-06-19,400000000,Series A,https://www.linkedin.com/company/balwaanagri/,https://www.balwaan.com/,AI
SEDEMAC,2024-05-30,91000000,Secondary Market,https://www.linkedin.com/company/sedemac-mechatronics/,https://www.sedemac.com,AI
Creanovation,2024-08-17,330000000,Series A,https://www.linkedin.com/company/ctplofficial,https://ctpl.io/,AI
BioPrime AgriSolutions,2024-10-08,6000000,Series A,https://in.linkedin.com/company/bioprimeagri,https://www.bioprimeagri.com/,AI
Butterfly Learnings,2024-04-10,320000000,Series A,https://www.linkedin.com/company/butterfly-learnings/,https://www.butterflylearnings.com/,AI
Etrav,2024-04-01,330000000,Corporate Round,https://www.linkedin.com/company/e-trav-tech-private-limited,https://www.etrav.tech,AI
Blackrock Microsystems,2024-05-06,12368642,Venture - Series Unknown,https://www.linkedin.com/company/blackrock-microsystems/,https://blackrockmicro.com/,AI
eFeed,2024-05-14,100000,Seed,https://www.linkedin.com/company/efeedonline/,https://efeed.in,AI
unScript.ai,2024-09-13,1000000,Grant,https://www.linkedin.com/company/unscriptai,https://www.unscript.ai/enterprise,AI
Favcy,2024-08-19,18000000,Venture - Series Unknown,https://www.linkedin.com/company/favcy/,https://favcy.com,AI
ONO,2024-04-03,110000000,Seed,https://linkedin.com/in/ono-ag-28350b212,https://ono.ag,AI
iDream Career,2024-03-14,6000000,Undisclosed,https://www.linkedin.com/company/idreamcareer-com,https://www.idreamcareer.com/,AI
Invest4Edu,2024-09-04,251800000,Seed,https://www.linkedin.com/company/invest4edu-pvt-ltd,https://invest4edu.com,AI
Grow Indigo,2024-01-28,670000000,Venture - Series Unknown,https://www.linkedin.com/company/grow-indigo-pvt-ltd,https://www.growindigo.co.in,AI
Starbuzz.ai,2024-02-22,41500000,Seed,https://www.linkedin.com/company/starbuzz-ai,https://starbuzz.ai,AI
QpiAI,2024-06-21,6500000,Seed,https://www.linkedin.com/company/qpiai/,https://qpiai.tech,AI
NIRAMAI Health Analytix,2024-05-29,,Non-equity Assistance,https://www.linkedin.com/company-beta/11009627,https://www.niramai.com,AI
Neuron Energy,2024-08-06,200000000,Series A,https://www.linkedin.com/company/neuron-energy/about/,https://www.neuronenergy.in/,AI
Snackible,2024-04-19,330553,Series A,https://www.linkedin.com/company/snackible/,https://www.snackible.com/,AI
Seeds Fincap,2024-07-17,8500000,Series A,https://www.linkedin.com/company/seedsfincap/?originalSubdomain=in,https://www.seedsfincap.com/,AI
STOXCART,2024-04-22,1000000000,Corporate Round,https://www.linkedin.com/company/stoxkart,https://www.stoxkart.com,AI
Arthan Finance,2024-06-10,500000000,Series B,https://www.linkedin.com/company/arthanfinance/,https://www.arthan.finance/,AI
ICON,2024-05-07,100000000,Seed,https://www.linkedin.com/company/icon-in,https://icon.in,AI
Morphing Machines,2024-06-26,230000000,Seed,https://www.linkedin.com/company-beta/1399270/,https://www.morphingmachines.com/,AI
